epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,36169.1,1.36182,0.79071,0.00303,0.73084,0.69234,0.74747,0.3977,1.55158,1.1024,0.00536,5.776e-05,5.776e-05,5.776e-05
66,36768,1.37043,0.78373,0.00304,0.74658,0.68151,0.75036,0.39609,1.56499,1.10245,0.0054,5.71e-05,5.71e-05,5.71e-05
67,37340.6,1.36136,0.77526,0.00303,0.73558,0.69871,0.75542,0.40052,1.56374,1.09805,0.00538,5.644e-05,5.644e-05,5.644e-05
68,37922.6,1.35359,0.77951,0.00303,0.74103,0.68953,0.74935,0.39579,1.5715,1.09663,0.00543,5.578e-05,5.578e-05,5.578e-05
69,38534.1,1.34395,0.76258,0.00297,0.73655,0.70255,0.7508,0.39636,1.57598,1.08655,0.00547,5.512e-05,5.512e-05,5.512e-05
70,39087,1.34805,0.75391,0.00298,0.75053,0.69028,0.74879,0.39614,1.57349,1.08979,0.00545,5.446e-05,5.446e-05,5.446e-05
71,39640.5,1.3396,0.75745,0.00301,0.73466,0.69917,0.74955,0.39682,1.578,1.09611,0.00548,5.38e-05,5.38e-05,5.38e-05
72,40198.4,1.34709,0.75434,0.00298,0.74168,0.69688,0.75115,0.39566,1.57874,1.10126,0.00545,5.314e-05,5.314e-05,5.314e-05
73,40740.3,1.33397,0.74263,0.00293,0.74754,0.69417,0.74942,0.39318,1.582,1.11388,0.00547,5.248e-05,5.248e-05,5.248e-05
74,41280.7,1.32911,0.73528,0.00295,0.75658,0.67485,0.74434,0.39228,1.58118,1.10642,0.00545,5.182e-05,5.182e-05,5.182e-05
75,41819.3,1.33579,0.74265,0.00295,0.70988,0.71831,0.7442,0.39153,1.58379,1.10796,0.00549,5.116e-05,5.116e-05,5.116e-05
76,42361.6,1.31602,0.73179,0.00291,0.75236,0.6859,0.74606,0.39185,1.58264,1.11233,0.00552,5.05e-05,5.05e-05,5.05e-05
77,42875,1.31736,0.72885,0.00289,0.74524,0.68408,0.74684,0.3922,1.57799,1.12688,0.00549,4.984e-05,4.984e-05,4.984e-05
78,43393.1,1.31039,0.72146,0.00287,0.73081,0.69371,0.74365,0.38921,1.58008,1.11853,0.00548,4.918e-05,4.918e-05,4.918e-05
