epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
58,25768.3,0.49864,0.48601,0.08741,0.72823,0.72681,0.75254,0.38298,0.53403,0.55834,0.12135,6.238e-05,6.238e-05,6.238e-05
59,26211.4,0.49867,0.49065,0.08666,0.73238,0.71271,0.75275,0.38032,0.5386,0.55384,0.12392,6.172e-05,6.172e-05,6.172e-05
60,26654.6,0.49688,0.48038,0.08514,0.72795,0.71232,0.75334,0.38363,0.53791,0.55296,0.12087,6.106e-05,6.106e-05,6.106e-05
61,27097.1,0.49876,0.48309,0.08758,0.72673,0.7117,0.7502,0.38383,0.53919,0.55006,0.1208,6.04e-05,6.04e-05,6.04e-05
62,27540.1,0.49483,0.48626,0.08674,0.7313,0.71701,0.75378,0.3837,0.53565,0.55181,0.12171,5.974e-05,5.974e-05,5.974e-05
63,27983.1,0.4964,0.48479,0.08509,0.72713,0.71577,0.74824,0.38023,0.53704,0.55781,0.12269,5.908e-05,5.908e-05,5.908e-05
64,28425.3,0.49504,0.47862,0.08684,0.72567,0.71445,0.74874,0.38099,0.53776,0.55469,0.12271,5.842e-05,5.842e-05,5.842e-05
65,28868.5,0.48729,0.47747,0.08532,0.73821,0.71611,0.75556,0.38356,0.5381,0.5505,0.12206,5.776e-05,5.776e-05,5.776e-05
66,29312,0.48926,0.47525,0.08529,0.72915,0.71179,0.75079,0.38044,0.5379,0.55448,0.12138,5.71e-05,5.71e-05,5.71e-05
67,29755,0.4896,0.47236,0.08487,0.72289,0.72567,0.75526,0.38114,0.53653,0.55881,0.12041,5.644e-05,5.644e-05,5.644e-05
68,30197.9,0.48427,0.47536,0.08513,0.71487,0.72484,0.75386,0.38268,0.53883,0.55551,0.12148,5.578e-05,5.578e-05,5.578e-05
69,30640.3,0.48351,0.47224,0.08223,0.72714,0.72589,0.7521,0.38139,0.54072,0.553,0.12335,5.512e-05,5.512e-05,5.512e-05
70,31083.4,0.48425,0.46857,0.08363,0.72904,0.72122,0.75315,0.38149,0.54169,0.55161,0.12433,5.446e-05,5.446e-05,5.446e-05
71,31526.8,0.47981,0.46786,0.08355,0.7311,0.71942,0.75109,0.37973,0.53907,0.55772,0.12334,5.38e-05,5.38e-05,5.38e-05
72,31970.7,0.48688,0.47243,0.08533,0.73049,0.7134,0.74619,0.37787,0.54016,0.55362,0.12343,5.314e-05,5.314e-05,5.314e-05
73,32416.1,0.47843,0.46678,0.08164,0.73286,0.70762,0.74818,0.37927,0.5399,0.55347,0.12333,5.248e-05,5.248e-05,5.248e-05
74,32906.5,0.47902,0.47003,0.08342,0.73173,0.71207,0.74793,0.37917,0.54072,0.55429,0.12363,5.182e-05,5.182e-05,5.182e-05
75,33368.4,0.48076,0.46714,0.08384,0.73497,0.70493,0.74613,0.37692,0.54253,0.55235,0.12316,5.116e-05,5.116e-05,5.116e-05
76,33806.6,0.4785,0.46625,0.08222,0.74163,0.70306,0.74919,0.3778,0.53971,0.55481,0.12359,5.05e-05,5.05e-05,5.05e-05
77,34241.5,0.47406,0.46687,0.08112,0.73797,0.70918,0.74908,0.37771,0.53835,0.56322,0.12313,4.984e-05,4.984e-05,4.984e-05
78,34673.8,0.46954,0.46348,0.07956,0.73521,0.70957,0.74974,0.37869,0.54288,0.55522,0.12306,4.918e-05,4.918e-05,4.918e-05
79,35104.2,0.47562,0.46676,0.08172,0.71193,0.72723,0.74444,0.37722,0.54284,0.55745,0.12382,4.852e-05,4.852e-05,4.852e-05
80,35534.4,0.47126,0.45993,0.0802,0.71344,0.7257,0.74588,0.3776,0.54446,0.55711,0.12399,4.786e-05,4.786e-05,4.786e-05
